   R( 32, 19) =      13.1577
   R( 32, 20) =      13.1579
   R( 32, 21) =       6.1601
   R( 32, 22) =       4.6201
   R( 32, 23) =       4.0745
   R( 32, 24) =       2.6674
   R( 32, 25) =       2.6674
   R( 32, 26) =       4.0745
   R( 32, 27) =       1.5400
   R( 32, 28) =       2.6673
   R( 32, 29) =       4.0745
   R( 32, 30) =       4.6200
   R( 32, 31) =       1.5401
   R( 33,  0) =       9.6174
   R( 33,  1) =       8.1490
   R( 33,  2) =       7.0572
   R( 33,  3) =       8.1490
   R( 33,  4) =       7.7001
   R( 33,  5) =       8.0022
   R( 33,  6) =       9.3676
   R( 33,  7) =      10.6696
   R( 33,  8) =       9.6174
   R( 33,  9) =      10.7801
   R( 33, 10) =      10.0985
   R( 33, 11) =       9.2401
   R( 33, 12) =      10.0985
   R( 33, 13) =      11.6266
   R( 33, 14) =      12.2235
   R( 33, 15) =      12.3199
   R( 33, 16) =      11.6267
   R( 33, 17) =      12.6055
   R( 33, 18) =      14.6907
   R( 33, 19) =      13.8600
   R( 33, 20) =      14.1144
   R( 33, 21) =       7.0572
   R( 33, 22) =       5.5526
   R( 33, 23) =       4.6201
   R( 33, 24) =       3.0800
   R( 33, 25) =       4.0744
   R( 33, 26) =       5.3347
   R( 33, 27) =       2.6673
   R( 33, 28) =       1.5400
   R( 33, 29) =       2.6674
   R( 33, 30) =       3.0801
   R( 33, 31) =       2.6674
   R( 33, 32) =       1.5400
   R( 34,  0) =      13.4257
   R( 34,  1) =      12.2237
   R( 34,  2) =      10.7802
   R( 34,  3) =       9.6175
   R( 34,  4) =      10.6697
   R( 34,  5) =       8.5746
   R( 34,  6) =       9.2403
   R( 34,  7) =      10.7803
   R( 34,  8) =      11.1054
   R( 34,  9) =      11.6270
   R( 34, 10) =      13.3370
   R( 34, 11) =      12.0280
   R( 34, 12) =      12.2237
   R( 34, 13) =      14.6908
   R( 34, 14) =      13.1581
   R( 34, 15) =      14.8514
   R( 34, 16) =      13.6880
   R( 34, 17) =      14.1146
   R( 34, 18) =      16.6579
   R( 34, 19) =      16.2980
   R( 34, 20) =      15.6296
   R( 34, 21) =       9.3677
   R( 34, 22) =       8.0023
   R( 34, 23) =       8.1492
   R( 34, 24) =       7.0574
   R( 34, 25) =       5.3350
   R( 34, 26) =       6.7130
   R( 34, 27) =       5.5527
   R( 34, 28) =       7.0572
   R( 34, 29) =       8.1491
   R( 34, 30) =       8.0022
   R( 34, 31) =       3.0801
   R( 34, 32) =       4.6202
   R( 34, 33) =       5.5526
   R( 35,  0) =      12.2237
   R( 35,  1) =      11.1054
   R( 35,  2) =       9.6175
   R( 35,  3) =       8.1492
   R( 35,  4) =       9.3677
   R( 35,  5) =       7.0574
   R( 35,  6) =       7.7003
   R( 35,  7) =       9.2403
   R( 35,  8) =       9.6176
   R( 35,  9) =      10.0987
   R( 35, 10) =      12.0281
   R( 35, 11) =      10.6697
   R( 35, 12) =      10.7803
   R( 35, 13) =      13.3369
   R( 35, 14) =      11.6271
   R( 35, 15) =      13.4256
   R( 35, 16) =      12.2236
   R( 35, 17) =      12.6057
   R( 35, 18) =      15.1675
   R( 35, 19) =      14.8514
   R( 35, 20) =      14.1147
   R( 35, 21) =       8.0024
   R( 35, 22) =       6.7130
   R( 35, 23) =       7.0574
   R( 35, 24) =       6.1602
   R( 35, 25) =       4.0747
   R( 35, 26) =       5.3350
   R( 35, 27) =       4.6202
   R( 35, 28) =       6.7128
   R( 35, 29) =       8.0023
   R( 35, 30) =       8.1491
   R( 35, 31) =       2.6674
   R( 35, 32) =       4.0746
   R( 35, 33) =       5.3348
   R( 35, 34) =       1.5400
   R( 36,  0) =      10.7802
   R( 36,  1) =       9.6175
   R( 36,  2) =       8.1491
   R( 36,  3) =       7.0574
   R( 36,  4) =       8.0023
   R( 36,  5) =       6.1602
   R( 36,  6) =       7.0574
   R( 36,  7) =       8.5746
   R( 36,  8) =       8.5745
   R( 36,  9) =       9.2402
   R( 36, 10) =      10.6696
   R( 36, 11) =       9.3677
   R( 36, 12) =       9.6175
   R( 36, 13) =      12.0278
   R( 36, 14) =      10.7803
   R( 36, 15) =      12.2234
   R( 36, 16) =      11.1052
   R( 36, 17) =      11.6270
   R( 36, 18) =      14.1145
   R( 36, 19) =      13.6879
   R( 36, 20) =      13.1580
   R( 36, 21) =       6.7129
   R( 36, 22) =       5.3349
   R( 36, 23) =       5.5527
   R( 36, 24) =       4.6201
   R( 36, 25) =       2.6675
   R( 36, 26) =       4.0747
   R( 36, 27) =       3.0801
   R( 36, 28) =       5.3347
   R( 36, 29) =       6.7128
   R( 36, 30) =       7.0572
   R( 36, 31) =       1.5399
   R( 36, 32) =       2.6674
   R( 36, 33) =       4.0745
   R( 36, 34) =       2.6674
   R( 36, 35) =       1.5401
   R( 37,  0) =      12.0279
   R( 37,  1) =      10.6696
   R( 37,  2) =       9.3675
