   R( 35, 17) =       5.5947
   R( 35, 18) =       5.5106
   R( 35, 19) =       7.0572
   R( 35, 20) =       6.7127
   R( 35, 21) =       5.3347
   R( 35, 22) =       6.6898
   R( 35, 23) =       7.0464
   R( 35, 24) =       6.1601
   R( 35, 25) =       4.6200
   R( 35, 26) =       5.3058
   R( 35, 27) =       4.0557
   R( 35, 28) =      11.6338
   R( 35, 29) =      13.1640
   R( 35, 30) =      13.1521
   R( 35, 31) =       4.0745
   R( 35, 32) =       2.6674
   R( 35, 33) =       2.6674
   R( 35, 34) =       1.5400
   R( 36,  0) =       9.3675
   R( 36,  1) =      10.6695
   R( 36,  2) =       8.0021
   R( 36,  3) =       6.7127
   R( 36,  4) =       5.5526
   R( 36,  5) =       5.3348
   R( 36,  6) =       4.0745
   R( 36,  7) =       4.6201
   R( 36,  8) =       3.0800
   R( 36,  9) =       2.6673
   R( 36, 10) =       4.0745
   R( 36, 11) =       5.3347
   R( 36, 12) =       5.5526
   R( 36, 13) =       6.7127
   R( 36, 14) =       8.0021
   R( 36, 15) =      10.6695
   R( 36, 16) =       9.3675
   R( 36, 17) =      10.7801
   R( 36, 18) =      10.7801
   R( 36, 19) =       7.0465
   R( 36, 20) =       8.1301
   R( 36, 21) =       9.6014
   R( 36, 22) =       8.1490
   R( 36, 23) =       7.0573
   R( 36, 24) =       7.7003
   R( 36, 25) =       9.2403
   R( 36, 26) =       9.6174
   R( 36, 27) =      10.0986
   R( 36, 28) =       2.6674
   R( 36, 29) =       1.5400
   R( 36, 30) =       1.5400
   R( 36, 31) =      10.0911
   R( 36, 32) =      11.6204
   R( 36, 33) =      11.6338
   R( 36, 34) =      12.3203
   R( 36, 35) =      13.8603
   R( 37,  0) =      10.6695
   R( 37,  1) =      12.0279
   R( 37,  2) =       9.3675
   R( 37,  3) =       8.0021
   R( 37,  4) =       7.0572
   R( 37,  5) =       6.7127
   R( 37,  6) =       5.3347
   R( 37,  7) =       6.1601
   R( 37,  8) =       4.6200
   R( 37,  9) =       4.0745
   R( 37, 10) =       5.3347
   R( 37, 11) =       6.7127
   R( 37, 12) =       7.0572
   R( 37, 13) =       8.0021
   R( 37, 14) =       9.3675
   R( 37, 15) =      12.0279
   R( 37, 16) =      10.6695
   R( 37, 17) =      12.2235
   R( 37, 18) =      12.2235
   R( 37, 19) =       8.5656
   R( 37, 20) =       9.6014
   R( 37, 21) =      11.0914
   R( 37, 22) =       9.6174
   R( 37, 23) =       8.5745
   R( 37, 24) =       9.2403
   R( 37, 25) =      10.7803
   R( 37, 26) =      11.1052
   R( 37, 27) =      11.6269
   R( 37, 28) =       4.0745
   R( 37, 29) =       2.6674
   R( 37, 30) =       2.6674
   R( 37, 31) =      11.6204
   R( 37, 32) =      13.1521
   R( 37, 33) =      13.1640
   R( 37, 34) =      13.8603
   R( 37, 35) =      15.4003
   R( 37, 36) =       1.5400
